id,player,team,opponent,stat,line,league,book,overOdds,underOdds,trueProb,edge,legEv,runTimestamp
prizepicks-9497962-points-5.5,Craig Porter,CLE,,points,5.5,NBA,fanduel,-125,-102,0.5238589211618258,0.023858921161825752,0.023858921161825752,2026-01-26T18:58:01 ET
prizepicks-9476170-rebounds-8,Jalen Smith,CHI,,rebounds,8,NBA,fanduel,-128,100,0.5289256198347108,0.02892561983471076,0.02892561983471076,2026-01-26T18:58:01 ET
prizepicks-9479354-points-15.5,Payton Pritchard,BOS,,points,15.5,NBA,fanduel,-128,100,0.5289256198347108,0.02892561983471076,0.02892561983471076,2026-01-26T18:58:01 ET
prizepicks-9474481-points-15,Jabari Smith,HOU,,points,15,NBA,fanduel,-128,100,0.5289256198347108,0.02892561983471076,0.02892561983471076,2026-01-26T18:58:01 ET
prizepicks-9478073-points-13.5,Cedric Coward,MEM,,points,13.5,NBA,fanduel,-130,102,0.5330897279740154,0.03308972797401544,0.03308972797401544,2026-01-26T18:58:01 ET
prizepicks-9478057-points-12.5,Cam Spencer,MEM,,points,12.5,NBA,fanduel,-128,100,0.5289256198347108,0.02892561983471076,0.02892561983471076,2026-01-26T18:58:01 ET
prizepicks-9474500-assists-5,Kevin Durant,HOU,,assists,5,NBA,fanduel,-130,102,0.5330897279740154,0.03308972797401544,0.03308972797401544,2026-01-26T18:58:01 ET
prizepicks-9478089-rebounds-4.5,Clint Capela,HOU,,rebounds,4.5,NBA,fanduel,-130,102,0.5330897279740154,0.03308972797401544,0.03308972797401544,2026-01-26T18:58:01 ET
prizepicks-9477031-points-16.5,Brandin Podziemski,GSW,,points,16.5,NBA,fanduel,-128,100,0.5289256198347108,0.02892561983471076,0.02892561983471076,2026-01-26T18:58:01 ET
prizepicks-9477355-points-14.5,Moses Moody,GSW,,points,14.5,NBA,fanduel,-125,-102,0.5238589211618258,0.023858921161825752,0.023858921161825752,2026-01-26T18:58:01 ET
prizepicks-9477476-points-9.5,Rudy Gobert,MIN,,points,9.5,NBA,fanduel,-125,-102,0.5238589211618258,0.023858921161825752,0.023858921161825752,2026-01-26T18:58:01 ET
prizepicks-9477752-rush_attempts-15,Rhamondre Stevenson,NE,,rush_attempts,15,NFL,fanduel,-130,-102,0.5281576830249397,0.028157683024939706,0.028157683024939706,2026-01-26T18:58:01 ET
prizepicks-9488112-rec_yards-8.5,George Holani,SEA,,rec_yards,8.5,NFL,fanduel,-130,-102,0.5281576830249397,0.028157683024939706,0.028157683024939706,2026-01-26T18:58:01 ET
prizepicks-9478931-rush_yards-3.5,Rashid Shaheed,SEA,,rush_yards,3.5,NFL,fanduel,-130,-102,0.5281576830249397,0.028157683024939706,0.028157683024939706,2026-01-26T18:58:01 ET
